"measure","status","current_description","replacement_description","expression"
"meas.ssr_history_avg_pushed_pulled_days_diff","KEEP","Average of ssr history avg pushed pulled days diff. Respects the current filter context.","Returns average pushed pulled days difference.","var _selected_item = SELECTEDVALUE(time_intelligence[filt_item])
			
			-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)
			
			-- get data for overridden date periods but still contextual
			var mtd_delta =DIVIDE(
			    (
			      CALCULATE([meas.ssr_history_avg_pushed_pulled_days],cal_end_dates[Date] >=  start_date_mtd &&  cal_end_dates[Date] <= end_date) - CALCULATE([meas.ssr_history_avg_pushed_pulled_days],cal_end_dates[Date] >=  start_date_mtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			    ),          // mtd calculation
			    CALCULATE([meas.ssr_history_avg_pushed_pulled_days],cal_end_dates[Date] >=  start_date_mtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			)
			
			var qtd_delta =DIVIDE(
			    (
			      CALCULATE([meas.ssr_history_avg_pushed_pulled_days],cal_end_dates[Date] >=  start_date_qtd &&  cal_end_dates[Date] <= end_date) - CALCULATE([meas.ssr_history_avg_pushed_pulled_days],cal_end_dates[Date] >=  start_date_qtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			    ),          // qtd calculation
			    CALCULATE([meas.ssr_history_avg_pushed_pulled_days],cal_end_dates[Date] >=  start_date_qtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			)
			
			var ytd_delta =DIVIDE(
			    (
			      CALCULATE([meas.ssr_history_avg_pushed_pulled_days],cal_end_dates[Date] >=  start_date_ytd &&  cal_end_dates[Date] <= end_date) - CALCULATE([meas.ssr_history_avg_pushed_pulled_days],cal_end_dates[Date] >=  start_date_ytd_sply &&  cal_end_dates[Date] <= end_date_sply)
			    ),      // ytd calculation
			    CALCULATE([meas.ssr_history_avg_pushed_pulled_days],cal_end_dates[Date] >=  start_date_ytd_sply &&  cal_end_dates[Date] <= end_date_sply)
			)
			
			var res = IF(
			    _selected_item=""MTD"", 
			    mtd_delta,
			    IF(
			        _selected_item=""QTD"",
			        qtd_delta,
			        IF(
			            _selected_item=""YTD"",
			            ytd_delta
			        )
			    )
			)
			
			
			RETURN
			res"
"meas.ssr_history_avg_won_amt","KEEP","Average of ssr history avg won amt. Respects the current filter context.","Returns the average average won amount for successful records.","CALCULATE(
			    AVERAGE(
			        ssr_history[opp_won_amt]
			    ), 
			    ssr_history[step_success] = True
			)"
"meas.ssr_history_avg_won_amt_diff","KEEP","Average of ssr history avg won amt diff. Respects the current filter context.","Returns average won amount difference.","var _selected_item = SELECTEDVALUE(time_intelligence[filt_item])
			
			-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)
			
			-- get data for overridden date periods but still contextual
			var mtd_delta =DIVIDE(
			    (
			      CALCULATE([meas.ssr_history_avg_won_amt],cal_end_dates[Date] >=  start_date_mtd &&  cal_end_dates[Date] <= end_date) - CALCULATE([meas.ssr_history_avg_won_amt],cal_end_dates[Date] >=  start_date_mtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			    ),          // mtd calculation
			    CALCULATE([meas.ssr_history_avg_won_amt],cal_end_dates[Date] >=  start_date_mtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			)
			
			var qtd_delta =DIVIDE(
			    (
			      CALCULATE([meas.ssr_history_avg_won_amt],cal_end_dates[Date] >=  start_date_qtd &&  cal_end_dates[Date] <= end_date) - CALCULATE([meas.ssr_history_avg_won_amt],cal_end_dates[Date] >=  start_date_qtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			    ),          // qtd calculation
			    CALCULATE([meas.ssr_history_avg_won_amt],cal_end_dates[Date] >=  start_date_qtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			)
			
			var ytd_delta =DIVIDE(
			    (
			      CALCULATE([meas.ssr_history_avg_won_amt],cal_end_dates[Date] >=  start_date_ytd &&  cal_end_dates[Date] <= end_date) - CALCULATE([meas.ssr_history_avg_won_amt],cal_end_dates[Date] >=  start_date_ytd_sply &&  cal_end_dates[Date] <= end_date_sply)
			    ),      // ytd calculation
			    CALCULATE([meas.ssr_history_avg_won_amt],cal_end_dates[Date] >=  start_date_ytd_sply &&  cal_end_dates[Date] <= end_date_sply)
			)
			
			var res = IF(
			    _selected_item=""MTD"", 
			    mtd_delta,
			    IF(
			        _selected_item=""QTD"",
			        qtd_delta,
			        IF(
			            _selected_item=""YTD"",
			            ytd_delta
			        )
			    )
			)
			
			
			RETURN
			res"
"meas.ssr_history_avg_won_cycle_days","KEEP","Average of ssr history avg won cycle days. Respects the current filter context.","Calculates average won cycle days in the current reporting context.",""
"meas.ssr_history_avg_won_cycles_days_diff","KEEP","Average of ssr history avg won cycles days diff. Respects the current filter context.","Returns average won cycles days difference.","var _selected_item = SELECTEDVALUE(time_intelligence[filt_item])
			
			-- get the dates
			var curr_date = CALCULATE(MAX(cal_end_dates[Date])) // get the mgmt current end date
			var end_date = curr_date
			var end_date_sply = date(Year(end_date) -1,Month(end_date),day(end_date)) // get the yoy end date
			var start_year = Year(curr_date) 
			var start_qtr_month = (Quarter(curr_date) * 3) - 2  
			var start_month = Month(curr_date)
			var start_date_ytd = date(start_year,1,1)  
			var start_date_ytd_sply = date(start_year-1,1,1)
			var start_date_qtd = date(start_year,start_qtr_month ,1)  
			var start_date_qtd_sply = date(start_year -1,start_qtr_month,1)
			var start_date_mtd = date(start_year,start_month,1)  
			var start_date_mtd_sply = date(start_year -1,start_month,1)
			
			-- get data for overridden date periods but still contextual
			var mtd_delta =DIVIDE(
			    (
			      CALCULATE([meas.ssr_history_avg_won_cycle_days],cal_end_dates[Date] >=  start_date_mtd &&  cal_end_dates[Date] <= end_date) - CALCULATE([meas.ssr_history_avg_won_cycle_days],cal_end_dates[Date] >=  start_date_mtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			    ),          // mtd calculation
			    CALCULATE([meas.ssr_history_avg_won_cycle_days],cal_end_dates[Date] >=  start_date_mtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			)
			
			var qtd_delta =DIVIDE(
			    (
			      CALCULATE([meas.ssr_history_avg_won_cycle_days],cal_end_dates[Date] >=  start_date_qtd &&  cal_end_dates[Date] <= end_date) - CALCULATE([meas.ssr_history_avg_won_cycle_days],cal_end_dates[Date] >=  start_date_qtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			    ),          // qtd calculation
			    CALCULATE([meas.ssr_history_avg_won_cycle_days],cal_end_dates[Date] >=  start_date_qtd_sply &&  cal_end_dates[Date] <= end_date_sply)
			)
			
			var ytd_delta =DIVIDE(
			    (
			      CALCULATE([meas.ssr_history_avg_won_cycle_days],cal_end_dates[Date] >=  start_date_ytd &&  cal_end_dates[Date] <= end_date) - CALCULATE([meas.ssr_history_avg_won_cycle_days],cal_end_dates[Date] >=  start_date_ytd_sply &&  cal_end_dates[Date] <= end_date_sply)
			    ),      // ytd calculation
			    CALCULATE([meas.ssr_history_avg_won_cycle_days],cal_end_dates[Date] >=  start_date_ytd_sply &&  cal_end_dates[Date] <= end_date_sply)
			)
			
			var res = IF(
			    _selected_item=""MTD"", 
			    mtd_delta,
			    IF(
			        _selected_item=""QTD"",
			        qtd_delta,
			        IF(
			            _selected_item=""YTD"",
			            ytd_delta
			        )
			    )
			)
			
			
			RETURN
			res"
"meas.ssr_history_avg_won_existing_customer_selling_amt","KEEP","Average of ssr history avg won existing customer selling amt. Respects the current filter context.","Returns the average average won existing customer selling amount where step is Existing Customer Selling, successful records.","CALCULATE(AVeRAGE(ssr_history[opp_won_amt]), ssr_history[step_name] in {""Existing Customer Selling""} && ssr_history[step_success] = true)"
"meas.ssr_history_avg_won_new_logo_amt","KEEP","Average of ssr history avg won new logo amt. Respects the current filter context.","Returns the average average won new logo amount where step is New Logo Selling, successful records.","CALCULATE(AVeRAGE(ssr_history[opp_won_amt]), ssr_history[step_name] in {""New Logo Selling""} && ssr_history[step_success] = true)"
"meas.ssr_history_booking_amt","KEEP","Measure calculating ssr history booking amt. Respects the current filter context.","Summarizes booking amount.","CALCULATE(SUM(ssr_history[opp_booking_amt]))"
"meas.ssr_history_cal_end_sel_date_count","KEEP","Count of ssr history cal end sel date count. Respects the current filter context.","Calculates the number of cal end sel date count.","//*** This is the ""earlier"" measure sub filtere approach for TS data  - use to get a filter measure and a count only (counts can be used in pie charts etc)
			
			-- function that through multiple steps get the most recent records in a table for each coid and then allow u to do agg ops on it 
			var sel_date = [meas.cal_end_sel_date] // get the selected date 
			
			//var temp_res =  CALCULATE(COUNT(ssr_history[_sys_doc_id]))
			var temp_tbl = CALCULATETABLE(ssr_history ,  cal_end_dates[Date] <= date(2100,1,1) ) // start by filtering the table to the appropriate period and override the end date to include open item,s 
			
			var filter_tbl  =
			FILTER (
			    temp_tbl,
			    ssr_history[_sys_doc_id] = 
			    CALCULATE (
			          MAX ( ssr_history[_sys_doc_id] ),
			        FILTER (
			            all(ssr_history),
			            ssr_history[_sys_ssr_id] = EARLIER ( ssr_history[_sys_ssr_id] ) // this checks all the other values if it is the relevant one
			            &&  ssr_history[_sys_filt_start_date] < sel_date  // this ensures that we exclude anything after the selected date - important!
			        )
			    )
			)
			Var res  = countx(filter_tbl,[_sys_doc_id] )
			RETURN res"
"meas.ssr_history_count_sys_doc_id","KEEP","Count of ssr history count sys doc id. Respects the current filter context.","Calculates the number of count sys doc id.","COUNT(ssr_history[_sys_doc_id])"
"meas.ssr_history_created_first_touched_age","KEEP","Measure calculating ssr history created first touched age. Respects the current filter context.","Returns created first touched age.","var _max_date = CALCULATE(MAX(cal_start_dates[Date]))   /// get the context current max date
			var _added_date = [meas.ssr_open_leads_accts_added_date]           // get the date when the leads added
			var _first_touched_date = [meas.ssr_open_leads_accts_first_touch_date]         // get the first touch date
			
			
			VAR _creatd_age = DATEDIFF(_added_date, _max_date, DAY)
			VAR _res_create = IF(
			    _creatd_age = 0,        // concate strings
			    ""-"",
			    _creatd_age & "" Days""
			)
			
			var _first_touch = DATEDIFF(_first_touched_date, _max_date, DAY)            // get the diff in days 
			
			VAR _res_first = IF(
			    _first_touch <= 0,
			    ""-"",
			    _first_touch & "" Days""              // concate day strings
			)
			
			RETURN
			_res_create & "" / "" & _res_first"
"meas.ssr_history_dur_hrs","KEEP","Measure calculating ssr history dur hrs. Respects the current filter context.","Calculates duration hours in the current reporting context.",""
"meas.ssr_history_duration_hrs","KEEP","Measure calculating ssr history duration hrs. Respects the current filter context.","Returns duration hours.","var dur = ssr_history[meas.ssr_history_duration_hrs_prospecting] +  ssr_history[meas.ssr_history_duration_hrs_new_logo] +  ssr_history[meas.ssr_history_duration_hrs_post_sales] +   [meas.ssr_history_duration_hrs_existing_customer_selling]
			var res  = dur
			return res"
"meas.ssr_history_duration_hrs_deals","KEEP","Measure calculating ssr history duration hrs deals. Respects the current filter context.","Returns duration hours deals.","DIVIDE ( [meas.ssr_history_duration_hrs_deals_accumulated],[meas.open_pipeline_total_deals] )"
"meas.ssr_history_duration_hrs_deals_stage","KEEP","Measure calculating ssr history duration hrs deals stage. Respects the current filter context.","Returns duration hours deals stage.","DIVIDE ( [meas.ssr_history_duration_hrs_deals_stage_accumulation],[meas.open_pipeline_total_deals] )"
"meas.ssr_history_duration_hrs_deals_stage_accumulation","KEEP","Measure calculating ssr history duration hrs deals stage accumulation. Respects the current filter context.","Returns duration hours deals stage accumulation.","VAR CurIdx = MAX ( open_pipeline[trueai_sort_id] )
			
			RETURN
			    SUMX (
			        FILTER (
			            ALL (open_pipeline ),                       
			            open_pipeline[trueai_sort_id] <= CurIdx    
			        ),
			        CALCULATE (
			            [meas.ssr_history_duration_hrs_new_logo]
			            + [meas.ssr_history_duration_hrs_existing_customer_selling]
			        )
			    )"
"meas.ssr_history_duration_hrs_existing_customer_selling","KEEP","Measure calculating ssr history duration hrs existing customer selling. Respects the current filter context.","Calculates duration hours existing customer selling in the current reporting context.",""
"meas.ssr_history_duration_hrs_existing_customer_selling_sales_process_step","KEEP","Measure calculating ssr history duration hrs existing customer selling sales process step. Respects the current filter context.","Summarizes duration hours existing customer selling sales process step where step is Existing Customer Selling.","var dur = calculate(
			    sum(
			        ssr_history[stkhlds_all_adj_dur]
			    ), 
			    KEEPFILTERS(
			        ssr_history[step_name] = ""Existing Customer Selling"" 
			    )
			) / 3600 // turn to hours
			var res  = dur
			return res"
"meas.ssr_history_duration_hrs_lost_deals","KEEP","Measure calculating ssr history duration hrs lost deals. Respects the current filter context.","Calculates duration hours lost deals in the current reporting context.",""
"meas.ssr_history_duration_hrs_new_logo","KEEP","Measure calculating ssr history duration hrs new logo. Respects the current filter context.","Summarizes duration hours new logo where step is New Logo Selling.","var dur = calculate(sum(ssr_history[stkhlds_all_adj_dur]), ssr_history[step_name] = ""New Logo Selling"" ) / 3600 // turn to hours
			var res  = dur
			return res"
"meas.ssr_history_duration_hrs_new_logo_sales_process_step","KEEP","Measure calculating ssr history duration hrs new logo sales process step. Respects the current filter context.","Summarizes duration hours new logo sales process step where step is New Logo Selling.","var dur = calculate(
			    sum(
			        ssr_history[stkhlds_all_adj_dur]
			    ), 
			    KEEPFILTERS(
			        ssr_history[step_name] = ""New Logo Selling""
			    )
			) / 3600 // turn to hours
			var res  = dur
			return res"
